vslFlgCtry;year;quarter;month;area;rect;subRect;foCatNat;foCatEu5;foCatEu6;harbour;vslLenCat;trpNum;foNum;foDur;effKwDays;effGtDays;daysAtSea
ITA;2014;1;NA;GSA99;NA;NA;OTB;NA;OTB_DEF_>=40_0_0;NA;VL0612;838.68;NA;NA;38073.69779;4341.723256;827.2775241
ITA;2014;1;NA;GSA99;NA;NA;OTB;NA;OTB_DEF_>=40_0_0;NA;VL1218;8489.67;NA;NA;1129811.284;162543.5141;8489.709646
ITA;2014;1;NA;GSA99;NA;NA;OTB;NA;OTB_DEF_>=40_0_0;NA;VL1824;2275.54;NA;NA;609089.39;121817.878;2275.623637
ITA;2014;1;NA;GSA99;NA;NA;OTB;NA;OTB_DEF_>=40_0_0;NA;VL2440;536.15;NA;NA;214292.4531;48655.6125;536.15
ITA;2014;1;NA;GSA99;NA;NA;OTB;NA;OTB_MDD_>=40_0_0;NA;VL1824;283.96;NA;NA;76008.60996;15201.72199;283.9763626
ITA;2014;1;NA;GSA99;NA;NA;OTB;NA;OTB_MDD_>=40_0_0;NA;VL2440;39.85;NA;NA;15927.54688;3616.3875;39.85
ITA;2014;2;NA;GSA99;NA;NA;OTB;NA;OTB_DEF_>=40_0_0;NA;VL0612;1286.69;NA;NA;53685.67545;6040.918162;1211.260482
ITA;2014;2;NA;GSA99;NA;NA;OTB;NA;OTB_DEF_>=40_0_0;NA;VL1218;8898.48;NA;NA;1183243.902;170393.801;8898.616793
ITA;2014;2;NA;GSA99;NA;NA;OTB;NA;OTB_DEF_>=40_0_0;NA;VL1824;2511.72;NA;NA;672308.4972;134461.6994;2511.817038
ITA;2014;2;NA;GSA99;NA;NA;OTB;NA;OTB_DEF_>=40_0_0;NA;VL2440;359.69;NA;NA;143766.7373;32642.58053;359.6978571
ITA;2014;2;NA;GSA99;NA;NA;OTB;NA;OTB_MDD_>=40_0_0;NA;VL1218;167.11;NA;NA;21983.69463;3205.020149;167.11
ITA;2014;2;NA;GSA99;NA;NA;OTB;NA;OTB_MDD_>=40_0_0;NA;VL1824;303.97;NA;NA;81363.54078;16272.70816;303.9829615
ITA;2014;2;NA;GSA99;NA;NA;OTB;NA;OTB_MDD_>=40_0_0;NA;VL2440;201.3;NA;NA;80457.95023;18268.16947;201.3021429
ITA;2014;3;NA;GSA99;NA;NA;OTB;NA;OTB_DEF_>=40_0_0;NA;VL0612;868.98;NA;NA;34617.02625;3816.105233;824.7019375
ITA;2014;3;NA;GSA99;NA;NA;OTB;NA;OTB_DEF_>=40_0_0;NA;VL1218;6494.7;NA;NA;858657.0541;124470.0034;6494.701481
ITA;2014;3;NA;GSA99;NA;NA;OTB;NA;OTB_DEF_>=40_0_0;NA;VL1824;2159.74;NA;NA;578090.7824;115618.1565;2159.809497
ITA;2014;3;NA;GSA99;NA;NA;OTB;NA;OTB_DEF_>=40_0_0;NA;VL2440;167.62;NA;NA;66995.61875;15211.515;167.62
ITA;2014;3;NA;GSA99;NA;NA;OTB;NA;OTB_MDD_>=40_0_0;NA;VL1218;82;NA;NA;10787.28358;1572.686567;82
ITA;2014;3;NA;GSA99;NA;NA;OTB;NA;OTB_MDD_>=40_0_0;NA;VL1824;31.99;NA;NA;8562.521363;1712.504273;31.99050308
ITA;2014;3;NA;GSA99;NA;NA;OTB;NA;OTB_MDD_>=40_0_0;NA;VL2440;70.38;NA;NA;28130.00625;6386.985;70.38
ITA;2014;4;NA;GSA99;NA;NA;OTB;NA;OTB_DEF_>=40_0_0;NA;VL0612;1065.16;NA;NA;47326.9894;5340.277823;1059.593119
ITA;2014;4;NA;GSA99;NA;NA;OTB;NA;OTB_DEF_>=40_0_0;NA;VL1218;9162.63;NA;NA;1215611.817;175519.6214;9163.128547
ITA;2014;4;NA;GSA99;NA;NA;OTB;NA;OTB_DEF_>=40_0_0;NA;VL1824;2503.81;NA;NA;670189.4367;134037.8873;2503.9
ITA;2014;4;NA;GSA99;NA;NA;OTB;NA;OTB_DEF_>=40_0_0;NA;VL2440;224.46;NA;NA;89713.85625;20369.745;224.46
ITA;2014;4;NA;GSA99;NA;NA;OTB;NA;OTB_MDD_>=40_0_0;NA;VL1218;441;NA;NA;58017.84184;8458.466844;441.0251195
ITA;2014;4;NA;GSA99;NA;NA;OTB;NA;OTB_MDD_>=40_0_0;NA;VL1824;111;NA;NA;29710.06329;5942.012658;111
ITA;2014;4;NA;GSA99;NA;NA;OTB;NA;OTB_MDD_>=40_0_0;NA;VL2440;108.54;NA;NA;43382.08125;9850.005;108.54
